id,hop_index,split,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24
5ae1229e55429901ffe4adbc-clean,1,train,0.23624153683309568,0.14909921990528074,0.1882321251001203,0.1845028686518022,0.0035950472827695258,0.13242324403606223,0.07458938711006131,0.07913065292612845,0.06247326820775325,0.09711357596884201,0.0006309553219203831,0.0015453363903388789,0.00021501141880862152,0.0006620402329682387,0.023999319441853597,0.0009435415660957821,0.19498933481762545,0.14731520995336542,0.20306476118363273,0.1699371556393454,0.1460934900139565,0.14989401555741344,0.15228877909524735,0.11438477109880074
5ae1229e55429901ffe4adbc-clean,2,train,0.17838513701557077,0.05492652314862934,0.028787029657385527,0.051880548796708635,0.039629273170325344,0.10612301868377297,0.060130322027165166,0.03476044641824034,0.05459248776320049,0.02429634411590623,0.0008427359877202657,0.0010049261203307392,2.0930557990650756e-06,9.744859897538003e-06,0.00044480078411763456,2.6055066935503754e-05,0.027254446468559654,0.025436809216132037,0.03796236990401605,0.02757200244450046,0.022591962959641627,0.024737682040144614,0.026677996586527523,0.03287174376371174
5ae1229e55429901ffe4adbc-error,1,train,0.26795109530766476,0.24375704588371602,0.23938669393409645,0.24673156996615203,0.949975544204163,0.6554408721141527,0.6530355491177594,0.6957322777450368,0.8310964242303608,0.9058566273335595,0.9992596416699966,0.999330318112195,0.9999999208772772,0.9999995209634699,0.9996502871229831,0.9999578202233474,0.8893998540981228,0.8476464099783498,0.858650190887592,0.8783596403126047,0.7421525582501727,0.7144269973203271,0.7313182012861896,0.6755861156000807
5ae1229e55429901ffe4adbc-error,2,train,0.19147298983452016,0.05707325327899697,0.029756555994883162,0.05256670229355297,0.052097833729384056,0.14185332981079166,0.08599568927378977,0.05475267129429557,0.08018465296863511,0.04463662658222757,0.04309606416989942,0.05451820711483814,2.0447375032878437e-06,5.7964824457955685e-05,0.0010474078441940924,0.0010650750967993612,0.07693777372744263,0.08126651152009132,0.11298591430546202,0.0921488891933904,0.07308671304383652,0.06992710240931568,0.07899653356415114,0.09307461188394861
5ab27f005542993be8fa992d-clean,1,train,0.19131303594090712,0.3874647055647612,0.44996322825451174,0.39999280599612114,0.21252526990507173,0.4231425672265591,0.4319093098503401,0.3114210082150182,0.3156705293616926,0.30228290215582637,0.1653184259369191,0.22365504373605904,0.0016796236725410843,0.0036540554010892298,0.060012841888803875,0.017630468266327082,0.23983178345332176,0.2674273856485221,0.24007748781037272,0.28788116624429333,0.36072342612377395,0.2342880655943628,0.20958378087977653,0.2008616109297894
5ab27f005542993be8fa992d-clean,2,train,0.1955166525053838,0.17417849234794955,0.14784231873043316,0.11773700838150691,0.015924084098422366,0.09271555856905564,0.0976800527414002,0.12365307879390125,0.09576731388526559,0.1316424769835089,0.0019847478678080466,0.012169746975722498,2.4858145079474735e-05,2.5309134884715826e-06,0.003292252983534503,4.5429194168358295e-06,0.028118470028170365,0.02263789889931307,0.02167804211878314,0.025337330955388874,0.039216524619387384,0.03186568582207526,0.039783398130551414,0.0386186982543855
5ab27f005542993be8fa992d-clean,3,train,0.12186485263752486,0.0926147229140671,0.10100238541965129,0.20626906104442047,0.07244537498348863,0.16069365114615056,0.17716924491390404,0.18165173899108963,0.14881356204819834,0.09082608399389294,0.006379792868132803,0.007378486461710775,0.0007420318681398579,0.0008301883283904506,0.01287353803212617,0.0015697718316992411,0.029847667350055437,0.03145200147601448,0.02617599200925037,0.020908347077259488,0.03438521852610038,0.029962221050958138,0.039235656558949006,0.04423176531720006
5ab27f005542993be8fa992d-error,1,train,0.18382255695260413,0.38172789427747844,0.41770305183126016,0.3791010648124478,0.6387517704918417,0.5135815164113037,0.5391402058126501,0.4086132791869028,0.4667440180242414,0.4782048009059217,0.8453970385956664,0.824292852458164,0.9935961374127871,0.9850235939364362,0.8957075368080948,0.9722767951305642,0.5889956933352725,0.604014785621834,0.52697223767035,0.5764332212668768,0.6179639038156672,0.554911008222799,0.5308054844221834,0.469705017681382
5ab27f005542993be8fa992d-error,2,train,0.19387929948216412,0.17141885462396428,0.14514183225972166,0.11366991319111476,0.0808022543074123,0.14668813425841193,0.15158022792612236,0.19839964076308544,0.14372633860353834,0.24011302848535174,0.01112021307182615,0.04471178188630776,0.00019258292398918506,3.915549662908055e-05,0.012626622747683936,3.5553876757388767e-05,0.04298066193621014,0.03848886318881593,0.03262699832878,0.038168324023603116,0.06366230840162224,0.05542608904467621,0.06915680601858842,0.07149822864239765
5ab27f005542993be8fa992d-error,3,train,0.12220883690295747,0.09247530602906298,0.1029537460978705,0.20071335016512054,0.07703298698824766,0.15995876111705506,0.1775719488192362,0.17605072336234043,0.14190009043680918,0.08366729192599101,0.007205026459421741,0.009301841886935608,0.0010327915082391957,0.0014242327294627332,0.017633172226383973,0.003350509159945657,0.033784159432259445,0.040225247326769194,0.03230196877535594,0.030310019185526994,0.04788150017286884,0.04545452599092371,0.06491252735903674,0.06995098365115168
